uid,year,movie_ids
100029,1997,3
100035,1952,76
1000427,2003,30
1000554,2003,30
1000596,1983,83
1000634,2000,33
10007,2003,30
1000740,2003,30
1000840,1994,18
1000880,2003,30
1000894,2003,30
100093,1983,83
1000965,2003,30
1001046,2002,28
1001185,1964,46
1001185,1995,77
1001185,1996,"16,58"
1001185,2003,30
1001212,1983,83
100126,2004,26
1001376,2000,33
1001404,1983,83
1001433,2003,30
1001477,1956,79
1001654,2003,30
1001660,1983,83
1001844,2000,33
1002025,1952,76
1002453,1952,76
1002453,1995,55
1002453,1996,"44,58"
1002491,2003,30
1002509,1996,78
1002519,2003,30
1002587,2002,28
1002587,2003,30
1002693,2002,28
1002696,2003,30
1002820,2004,26
1002929,2003,30
100294,1996,58
100294,2001,48
1002943,1996,"44,58"
1003114,2003,30
1003135,2003,30
1003143,1983,83
1003143,2002,84
10032,1983,83
10032,2003,30
1003291,2000,33
1003531,1965,104
1003540,2004,68
1003617,2003,30
1003834,2003,30
1003859,2003,30
1003874,2000,33
1003967,1983,83
1004301,2003,30
1004579,2002,28
1004803,2004,8
100495,2003,30
1005156,2002,28
1005156,2003,30
1005185,2001,48
1005185,2002,28
1005290,2003,30
1005371,1952,76
1005606,2002,28
1005941,2000,33
1005983,1956,79
1006156,2003,30
1006215,2003,30
1006230,2003,30
1006350,2000,33
1006350,2002,97
1006456,1952,76
1006516,2003,30
1006570,1994,18
1006623,2004,8
1006689,1964,46
1006739,2002,28
1006940,1996,44
1006958,2002,28
100708,2002,97
1007084,2004,8
1007172,2003,30
1007307,1964,46
1007344,2003,30
1007391,2003,30
1007432,2003,30
100750,2002,28
1007522,2003,30
1007675,2002,28
1007717,2002,84
1007754,1952,76
1007768,2002,28
1007809,2002,"28,52"
1007914,2000,33
1007967,2001,48
1007967,2002,28
1008069,2002,28
1008085,1964,46
1008130,2002,28
100834,2003,30
1008375,2002,97
1008399,2003,30
1008525,2003,30
1008720,1994,18
1009097,2003,30
1009174,2002,28
1009263,2002,28
1009391,2003,30
1009391,2004,32
1009394,1983,83
1009404,2003,30
1009477,2003,30
1009762,2003,30
1009885,1956,79
1009885,1994,18
1009967,1994,18
1010136,2002,28
1010143,1996,58
1010227,2002,"52,97"
101031,1994,18
1010489,1994,18
1010489,2002,28
1010514,1996,44
1010514,2002,28
1010514,2003,30
1010616,2002,28
1010655,2002,28
101070,1983,83
1010765,2004,32
1010964,1996,58
1011174,2002,28
1011236,2002,28
1011236,2003,30
1011250,1983,83
1011293,2001,48
1011293,2002,28
1011307,2002,28
1011531,2002,28
1011627,2003,30
1011928,2000,33
1011937,2003,30
1012086,1996,78
1012086,2002,28
1012312,2002,28
1012629,2002,28
1012786,2002,28
1013321,2000,33
1013344,2002,28
1013357,2003,30
1013375,2003,30
1013454,2002,28
1013488,2002,28
1013527,2000,33
1013603,2004,26
1013676,2002,28
1013696,2003,30
1013930,2000,33
1014098,1952,76
1014106,2003,30
1014146,2004,32
1014343,1996,44
1014606,2002,28
1014812,2003,30
1014875,2003,30
1014928,2002,28
1014939,1995,57
1014939,2000,33
1014989,2002,52
1015405,2003,30
1015558,1996,58
1015596,1983,83
1015696,1964,46
1015702,2003,30
1015802,1994,18
101582,2004,32
1015864,2003,30
1015986,2000,33
10161,1956,79
1016141,1995,55
101618,2004,32
101620,2000,33
1016386,2005,17
1016426,2002,28
1016509,2002,28
1016562,2003,30
1017144,2002,28
1017240,2000,33
1017596,2002,28
1017702,2003,30
1017784,1994,18
1017787,2000,33
1017914,1983,83
1017936,2003,30
101795,2002,28
101807,2003,30
1018296,2001,48
1018379,1996,78
1018379,2002,28
1018379,2003,30
1018535,1994,18
1018578,2003,30
1018660,1964,46
1018727,2000,33
1019056,2002,52
1019154,2003,30
1019345,1965,104
1019455,1994,18
1019475,2003,30
1019598,2002,28
1019798,2000,33
1019903,2003,30
1019952,1983,83
1019997,1965,104
1020115,1996,58
1020155,2003,30
1020214,1952,47
1020215,1983,83
102028,1983,83
102028,2000,33
102029,2003,30
102038,1994,18
1020427,2000,33
1020537,2003,30
1020675,2003,30
1020745,2002,28
1020827,2003,30
1021047,1964,46
1021157,2004,68
1021583,2004,32
1021603,1994,18
1021948,1965,104
1022254,2002,28
1022576,1965,104
1022671,1964,46
1022684,1996,58
1022711,2000,33
1022925,2002,28
1022935,1994,18
1023059,2003,30
1023240,1964,46
1023302,2002,28
1023470,1952,47
1023635,2002,28
1023729,2003,30
102383,2002,28
102383,2003,30
1024066,1994,18
1024408,2002,28
1024408,2003,30
1024554,2002,28
1024554,2003,30
1024560,2002,28
1024568,1996,58
1024568,2003,30
